處置次別,評級,訊號,買進訊號,觸發方式,買進訊號(-5%版),代號,名稱,規模,處置原因,近20日漲幅,大戶(%),起始日,今D幾,出關日,目前損益(%),目前損益(-5%版)(%),今日漲跌,觸發價,距觸發(%),觸發價(-5%版),距觸發(-5%版)(%),觸發價(D0收盤版),距觸發(D0收盤版)(%),D1%,D2%,D3%,D4%,D5%,LowD1%,LowD2%,LowD3%,LowD4%,LowD5%,峰值(5日),LowD1%(峰值版),LowD2%(峰值版),LowD3%(峰值版),LowD4%(峰值版),LowD5%(峰值版),D1%(峰值版),D2%(峰值版),D3%(峰值版),D4%(峰值版),D5%(峰值版),出關開盤(相對D0)%
第一次,⬜ 待觀察,❌ 不符合(D0漲幅不在2~9%),,,,3374,精材,大,漲多處置,36.19,,09/02,D1,09/09,,,-0.24,421.50,,400.50,,,,,,,,,,,,,,431.00,,,,,,,,,,,
第一次,⬜ 待觀察,❌ 不符合(D0漲幅不在2~9%),,,,3406,玉晶光,大,漲多處置,100.20,,09/02,D1,09/09,,,0.00,1005.00,,955.00,,,,,,,,,,,,,,1090.00,,,,,,,,,,,
第一次,⬜ 待觀察,❌ 不符合(D0漲幅不在2~9%),,,,6805,富世達,大,漲多處置,43.71,,09/02,D1,09/09,,,-0.87,2285.00,,2170.00,,,,,,,,,,,,,,2435.00,,,,,,,,,,,
第一次,⬜ 待觀察,❌ 不符合(D0漲幅不在2~9%),,,,6933,AMAX-KY,中,漲多處置,86.09,,09/02,D1,09/09,,,9.97,314.50,,299.00,,,,,,,,,,,,,,314.50,,,,,,,,,,,
第一次,⬜ 待觀察,❌ 不符合(D0漲幅不在2~9%),,,,8358,金居,大,漲多處置,54.25,,09/02,D1,09/09,,,-2.59,526.00,,499.50,,,,,,,,,,,,,,564.00,,,,,,,,,,,
第一次,⬜ 待觀察,❌ 不符合(D0漲幅不在2~9%),,,,4939,亞電,小,漲多處置,59.86,,09/01,D2,09/08,,,-2.35,89.20,2.41,84.70,-2.76,,,-2.35,,,,,-3.25,,,,,95.20,-9.35,,,,,-8.51,,,,,
第一次,⬜ 待觀察,❌ 不符合(D0漲幅不在2~9%),,,,6226,光鼎,小,漲多處置,46.64,,09/01,D2,09/08,,,7.59,31.60,-7.06,30.00,-11.76,,,7.59,,,,,-1.90,,,,,36.60,-15.30,,,,,-7.10,,,,,
第一次,⬜ 待觀察,❌ 不符合(D0漲幅不在2~9%),,,,3441,聯一光,小,漲多處置,54.76,,08/31,D3,09/07,,,-2.21,130.00,-2.26,123.50,-7.14,,,4.62,2.31,,,,-1.92,0.00,,,,140.50,-9.25,-7.47,,,,-3.20,-5.34,,,,
第一次,⬜ 待觀察,❌ 不符合(D0漲幅不在2~9%),,,D1,4188,安克,小,漲多處置,70.90,,08/31,D3,09/07,,-2.02,-2.02,16.15,11.00,15.35,5.50,,,-8.05,-9.91,,,,-9.91,-10.22,,,,17.65,-17.56,-17.85,,,,-15.86,-17.56,,,,
第一次,⬜ 待觀察,❌ 不符合(D0漲幅不在2~9%),,,D1,6103,合邦,小,漲多處置,65.49,,08/31,D3,09/07,,0.22,0.22,47.00,5.38,44.65,0.11,,,-5.32,-5.11,,,,-8.19,-5.11,,,,47.00,-8.19,-5.11,,,,-5.32,-5.11,,,,
第一次,⬜ 待觀察,❌ 不符合(D0漲幅不在2~9%),,,,2486,一詮,大,漲多處置,42.28,,08/27,D5,09/03,,,4.94,262.50,-4.89,249.50,-9.60,,,-1.33,-0.57,0.19,5.14,,-2.67,-0.95,-1.14,1.33,,267.50,-4.49,-2.80,-2.99,-0.56,,-3.18,-2.43,-1.68,3.18,,
第二次+,⬜ 待觀察,,D1,收盤跌破(A),,3163,波若威,大,漲多處置,38.60,,08/31,D3,09/07,2.70,,2.70,773.00,1.58,,,716.00,-5.91,-1.72,0.93,,,,-3.71,-2.39,,,,814.00,-10.81,-9.58,,,,-8.97,-6.51,,,,
第二次+,⬜ 待觀察,,D1,收盤跌破(A),,4979,華星光,大,漲多處置,78.07,,08/28,D4,09/04,-1.65,,-1.48,621.00,3.50,,,586.00,-2.33,-1.13,-1.30,-2.76,,,-3.40,-4.54,-3.57,,,654.00,-8.87,-9.94,-9.02,,,-6.73,-6.88,-8.26,,,
第二次+,⬜ 待觀察,,D1,僅盤中觸及(C),,3362,先進光,中,漲多處置,16.43,,08/27,D5,09/03,-2.20,,-0.99,204.00,2.00,,,192.00,-4.00,1.24,-1.24,0.00,-0.99,,-2.48,-2.72,-3.71,-0.99,,214.50,-8.16,-8.39,-9.32,-6.76,,-4.66,-6.99,-5.83,-6.76,,
